,State.and.County,1989,1979,1969,1959
214,"Alameda County, CA","17,547","14,305","11,651","9,159"
220,"Contra Costa County, CA","20,748","16,457","12,479","9,041"
232,"Los Angeles County, CA","16,149","13,913","12,161","9,896"
234,"Marin County, CA","28,381","20,664","15,088","11,062"
241,"Napa County, CA","17,640","14,035","10,298","7,628"
243,"Orange County, CA","19,890","16,031","12,186","8,896"
250,"San Diego County, CA","16,220","13,338","10,641","8,594"
251,"San Francisco County, CA","19,695","15,525","13,319","10,634"
254,"San Mateo County, CA","22,430","17,873","14,332","11,195"
256,"Santa Clara County, CA","20,423","15,949","12,095","9,143"
261,"Solano County, CA","14,833","12,412","9,728","7,526"
262,"Sonoma County, CA","17,239","13,551","9,684","7,405"